Appellation officielle;Commune
Centre d'enseignement professionnel et d'accueil des jeunes;Saint-Genis-Laval
Ecole générale privée Cours Pascal;Lyon 1er Arrondissement
Ecole privée multilingue Ombrosa;Caluire-et-Cuire
Ecole privée Silvya Terrade - International Silvya Terrade;Lyon 6e  Arrondissement
Ecole privée Silvya Terrade - Villefranche-sur-Saône;Villefranche-sur-Saône
Ecole professionnelle privée Atelier d'Apprentissage de Gorge de Loup;Lyon 9e  Arrondissement
Ecole professionnelle privée Ateliers d'Apprentissage de la Giraudière;Brussieu
Ecole professionnelle privée ELEA Presqu'île;Lyon 2e  Arrondissement
Ecole professionnelle privée Ipso Lyon;Lyon 7e  Arrondissement
Ecole professionnelle privée Studio M;Villeurbanne
Ecole secondaire privée International School Of Lyon;Sainte-Foy-lès-Lyon
Ecole secondaire privée IPESS;Lyon 7e  Arrondissement
Ecole technologique privée Arts Appliqués Bellecour;Lyon 2e  Arrondissement
Ecole technologique privée de Condé;Lyon 7e  Arrondissement
Ecole technologique privée Supdemod;Lyon 2e  Arrondissement
Etablissement régional d'enseignement adapté Cité Scolaire René Pellet - Lycée des métiers du tertiaire et de l'artisanat d'art;Villeurbanne
Lycée agricole privé Jean Monnet de Saint-symphorien-sur-Coise;Saint-Symphorien-sur-Coise
Lycée agricole privé Lyon Pressin de Saint-Genis-Laval;Saint-Genis-Laval
Lycée agricole privé Sandar de Limonest;Limonest
Lycée d'enseignement général et technologique agricole de Lyon - Dardilly;Dardilly
Lycée d'enseignement général et technologique agricole de Saint-Genis-Laval;Saint-Genis-Laval
Lycée général Cité scolaire internationale;Lyon 7e  Arrondissement
Lycée général du Parc;Lyon 6e  Arrondissement
Lycée général et technologique Albert Camus;Rillieux-la-Pape
Lycée général et technologique Ampère;Lyon 2e  Arrondissement
Lycée général et technologique Antoine de Saint-Exupéry;Lyon 4e  Arrondissement
Lycée général et technologique Auguste et Louis Lumière;Lyon 8e  Arrondissement
Lycée général et technologique Blaise Pascal;Charbonnières-les-Bains
Lycée général et technologique Colbert;Lyon 8e  Arrondissement
Lycée général et technologique Condorcet;Saint-Priest
Lycée général et technologique Edouard Herriot;Lyon 6e  Arrondissement
Lycée général et technologique Jean Perrin;Lyon 9e  Arrondissement
Lycée général et technologique Jean-Paul Sartre;Bron
Lycée général et technologique Juliette Récamier;Lyon 2e  Arrondissement
Lycée général et technologique La Martinière Diderot;Lyon 1er Arrondissement
Lycée général et technologique La Martinière Duchère;Lyon 9e  Arrondissement
Lycée général et technologique La Martinière Monplaisir;Lyon 8e  Arrondissement
Lycée général et technologique Lacassagne;Lyon 3e  Arrondissement
Lycée général et technologique Marcel Sembat;Vénissieux
Lycée général et technologique Parc Chabrières;Oullins
Lycée général et technologique Pierre Brossolette;Villeurbanne
Lycée général et technologique privé Al Kindi;Décines-Charpieu
Lycée général et technologique privé Assomption Bellevue;La Mulatière
Lycée général et technologique privé Aux Lazaristes;Lyon 5e  Arrondissement
Lycée général et technologique privé Belmont-Capdepon;Lyon 7e  Arrondissement
Lycée général et technologique privé Champagnat;Saint-Symphorien-sur-Coise
Lycée général et technologique privé Charles de Foucauld;Lyon 3e  Arrondissement
Lycée général et technologique privé des Chassagnes;Oullins
Lycée général et technologique privé Institution des Chartreux;Lyon 1er Arrondissement
Lycée général et technologique privé Jean-Baptiste de La Salle;Lyon 1er Arrondissement
Lycée général et technologique privé La Favorite Sainte Thérèse;Lyon 5e  Arrondissement
Lycée général et technologique privé Notre Dame de Bel Air;Tarare
Lycée général et technologique privé Notre Dame des Minimes;Lyon 5e  Arrondissement
Lycée général et technologique privé Saint Charles;Rillieux-la-Pape
Lycée général et technologique privé Saint Louis-Saint Bruno;Lyon 1er Arrondissement
Lycée général et technologique privé Saint Thomas d'Aquin Véritas;Oullins
Lycée général et technologique privé Sainte Marie;Lyon 5e  Arrondissement
Lycée général et technologique René Descartes;Saint-Genis-Laval
Lycée général et technologique Robert Doisneau;Vaulx-en-Velin
Lycée général et technologique Saint-Just;Lyon 5e  Arrondissement
Lycée général Germaine Tillion;Sain-Bel
Lycée général privé Acadomia Campus;Lyon 7e  Arrondissement
Lycée général privé Beth Hanna;Villeurbanne
Lycée général privé Chevreul;Lyon 7e  Arrondissement
Lycée général privé Deborde;Lyon 6e  Arrondissement
Lycée général privé Externat de La Trinité;Lyon 6e  Arrondissement
Lycée général privé Immaculée-Conception;Villeurbanne
Lycée général privé Juif de Lyon;Villeurbanne
Lycée général privé La Xavière;Lyon 8e  Arrondissement
Lycée général privé Notre Dame de Bellegarde;Neuville-sur-Saône
Lycée général privé Notre Dame de Mongré;Villefranche-sur-Saône
Lycée général privé Pierre Termier;Lyon 8e  Arrondissement
Lycée général privé Saint Joseph;Tassin-la-Demi-Lune
Lycée général privé Saint Marc;Lyon 2e  Arrondissement
Lycée Général Rosa Parks;Neuville-sur-Saône
Lycée polyvalent Aiguerande;Belleville-en-Beaujolais
Lycée polyvalent Aragon-Picasso - Lycée des métiers;Givors
Lycée polyvalent Charlie Chaplin;Décines-Charpieu
Lycée polyvalent Claude Bernard - Lycée des métiers de la vente, des services et du commerce;Villefranche-sur-Saône
Lycée polyvalent Edouard Branly - Lycée des métiers de l'énergie, de la lumière et du numérique;Lyon 5e  Arrondissement
Lycée polyvalent Frédéric Fays - Lycée des métiers des techniques de conception et de production;Villeurbanne
Lycée polyvalent François Mansart;Thizy-les-Bourgs
Lycée polyvalent François Rabelais;Dardilly
Lycée polyvalent Hector Guimard - Lycée des métiers de la fonderie, de la plasturgie et des outillages associés, de la prothèse dentaire;Lyon 7e  Arrondissement
Lycée polyvalent Jacques Brel;Vénissieux
Lycée polyvalent Louis Armand;Villefranche-sur-Saône
Lycée polyvalent privé Jehanne de France;Lyon 9e  Arrondissement
Lycée polyvalent René Cassin;Tarare
Lycée professionnel agricole de Belleville;Belleville-en-Beaujolais
Lycée professionnel Alfred de Musset - Lycée des métiers de la logistique et du transport - Lycée des métiers de la maintenance industrielle;Villeurbanne
Lycée professionnel André Cuzin - Lycée des métiers de la construction et de l'habitat durables;Caluire-et-Cuire
Lycée professionnel Barthélémy Thimonnier - Lycée des métiers des services aux personnes et aux entreprises;L'Arbresle
Lycée professionnel Camille Claudel - Lycée des métiers de la chapellerie, du tertiaire commercial et administratif;Lyon 4e  Arrondissement
Lycée professionnel Danielle Casanova - Lycée des métiers du cuir et des services;Givors
Lycée professionnel Diderot - Lycée des métiers du textile, de l'habillement et de la maintenance industrielle;Lyon 1er Arrondissement
Lycée professionnel du 1er Film - Lycée des métiers de la beauté, la communication et la restauration;Lyon 8e  Arrondissement
Lycée professionnel Edmond Labbé - Lycée des métiers de l'énergie;Oullins
Lycée professionnel Emile Béjuit - Automobile - Lycée des métiers de l'automobile et du transport;Bron
Lycée professionnel Fernand Forest;Saint-Priest
Lycée professionnel François Cevert;Ecully
Lycée professionnel Georges Lamarque - Lycée des métiers des arts et techniques du bois et de la tapisserie d'ameublement;Rillieux-la-Pape
Lycée professionnel Gustave Eiffel;Brignais
Lycée professionnel Hélène Boucher - Lycée des métiers de la restauration, de la proprete et de l'environnement;Vénissieux
Lycée professionnel Jacques de Flesselles - Lycée des métiers du génie électrique et de la bureautique;Lyon 1er Arrondissement
Lycée professionnel Jean Lurçat - Lycée des métiers des services aux  personnes et aux entreprises;Lyon 8e  Arrondissement
Lycée professionnel Joseph-Marie Jacquard - Lycée des métiers mode - LYC MET services personne et entreprise - LYC MET réseau textile mode cuir;Oullins
Lycée professionnel Les Canuts - Lycée des métiers de l'électrotechnique - Lycée des métiers de la vente;Vaulx-en-Velin
Lycée professionnel Louise Labé - Lycée des métiers réseau textile mode cuir;Lyon 7e  Arrondissement
Lycée professionnel Magenta - Lycée des métiers des services administratifs;Villeurbanne
Lycée professionnel Marc Seguin;Vénissieux
Lycée professionnel Marie Curie - Lycée des métiers du commerce et du service à la personne;Villeurbanne
Lycée professionnel privé Ateliers d'Apprentissage de l'Industrie;Vaulx-en-Velin
Lycée professionnel privé Carrel - Lycée des métiers des relations commerciales;Lyon 6e  Arrondissement
Lycée professionnel privé Chevreul Lestonnac;Lyon 7e  Arrondissement
Lycée professionnel privé de Coiffure de Lyon;Lyon 4e  Arrondissement
Lycée professionnel privé des Arts de la Coiffure - Lycée des métiers des arts de la coiffure;Lyon 1er Arrondissement
Lycée professionnel privé Don Bosco - Lycée des métiers des services à la personne;Lyon 5e  Arrondissement
Lycée professionnel privé Institut Technique des Carrières Carole;Lyon 2e  Arrondissement
Lycée professionnel privé Interfora;Saint-Fons
Lycée professionnel privé Japy - Lycée des métiers de la vente et de la gestion administrative;Lyon 1er Arrondissement
Lycée professionnel privé Jean-Baptiste de La Salle;Lyon 1er Arrondissement
Lycée professionnel privé La Favorite Sainte Thérèse;Sainte-Foy-lès-Lyon
Lycée professionnel privé La Mache - Lycée des métiers de la production et des technologies industrielles;Lyon 8e  Arrondissement
Lycée professionnel privé La Vidaude;Saint-Genis-Laval
Lycée professionnel privé Notre Dame G;Givors
Lycée professionnel privé Notre Dame V;Villefranche-sur-Saône
Lycée professionnel privé Orsel;Oullins
Lycée professionnel privé ORT;Lyon 8e  Arrondissement
Lycée professionnel privé Saint Charles - Lycée des métiers des systèmes électroniques et du commerce;Rillieux-la-Pape
Lycée professionnel privé Saint Joseph - Lycée des métiers de l'énergie, de la gestion-administration et de la relation clientèle;Lyon 7e  Arrondissement
Lycée professionnel privé Saint Louis-Saint Bruno - Lycée des métiers du tertiaire administratif et commercial;Lyon 1er Arrondissement
Lycée professionnel privé Saint Marc - Lycée des métiers des services administratifs et de la vente;Lyon 2e  Arrondissement
Lycée professionnel privé Société Enseignement Professionnel du Rhône - Lycée des métiers du réseau textile mode cuir;Lyon 3e  Arrondissement
Lycée professionnel Sermenaz;Rillieux-la-Pape
Lycée professionnel Tony Garnier - Lycée des métiers du bâtiment et des travaux publics;Bron
Lycée technologique privé Carrel;Lyon 6e  Arrondissement
Lycée technologique privé Don Bosco;Lyon 5e  Arrondissement
Lycée technologique privé ICOF;Lyon 5e  Arrondissement
Lycée technologique privé La Mache;Lyon 8e  Arrondissement
Lycée technologique privé Notre Dame;Villefranche-sur-Saône
Lycée technologique privé ORT;Lyon 8e  Arrondissement
Section d'enseignement professionnel du Lycée polyvalent Aiguerande;Belleville-en-Beaujolais
Section d'enseignement professionnel du Lycée polyvalent Aragon-Picasso;Givors
Section d'enseignement professionnel du Lycée polyvalent Charlie Chaplin;Décines-Charpieu
Section d'enseignement professionnel du Lycée polyvalent Claude Bernard;Villefranche-sur-Saône
Section d'enseignement professionnel du Lycée polyvalent Edouard Branly;Lyon 5e  Arrondissement
Section d'enseignement professionnel du Lycée polyvalent Frédéric Fays;Villeurbanne
Section d'enseignement professionnel du Lycée polyvalent François Mansart;Thizy-les-Bourgs
Section d'enseignement professionnel du Lycée polyvalent François Rabelais;Dardilly
Section d'enseignement professionnel du Lycée polyvalent Hector Guimard;Lyon 7e  Arrondissement
Section d'enseignement professionnel du Lycée polyvalent Jacques Brel;Vénissieux
Section d'enseignement professionnel du Lycée polyvalent Louis Armand;Villefranche-sur-Saône
Section d'enseignement professionnel du Lycée polyvalent privé Jehanne de France;Lyon 9e  Arrondissement
Section d'enseignement professionnel du Lycée polyvalent René Cassin;Tarare
