nom;type;commune;département;longitude (X);latitude (Y)
Institut des droits de l'Homme;Autre établissement du supérieur;Lyon;Rhône;4.8240999;45.7477113
Institut de l'environnement et des technologies;Autre établissement du supérieur;Lyon;Rhône;4.805519;45.770445
Ecole internationale des transports et de la logistique - Sup de Log (groupe Promotrans);Autre établissement du supérieur;Lyon;Rhône;4.835007;45.744212
Institut national du travail, de l'emploi et de la formation professionnelle;Centre de formation de fonctionnaires;Marcy-l'Etoile;Rhône;4.715624;45.785551
Institut national de formation des personnels du ministère de l'agriculture;Centre de formation de fonctionnaires;Corbas;Rhône;4.916536;45.674167
Ecole du Personnel Paramédical du service de santé des Armées;Centre de formation de fonctionnaires;Bron;Rhône;4.9248669;45.7282743
Conservatoire à rayonnement régional de Lyon;Ecole d'art;Lyon;Rhône;4.822114;45.76105
Centre de formation de musiciens intervenant à l'école;Ecole d'art;Bron;Rhône;4.824475;45.773776
Institut supérieur Architecture intérieure;Ecole d'art;Lyon;Rhône;4.8657397822089;45.75680762735
IT Akademy;Autre établissement du supérieur;Villeurbanne;Rhône;4.8637927;45.7702825
Institut des sciences de la famille;Autre établissement du supérieur;Lyon;Rhône;4.8269411;45.751225
Institut supérieur de communication et de publicité;Autre établissement du supérieur;Lyon;Rhône;4.862554;45.759085
Institut d'études politiques (Sciences Po Lyon);Autre établissement du supérieur;Lyon;Rhône;4.836028;45.747026
Faculté de droit;Autre établissement du supérieur;Lyon;Rhône;4.826411;45.746622
ISCPA Lyon - Institut supérieur des médias;Autre établissement du supérieur;Lyon;Rhône;4.805467;45.768032
Ecole supérieure qualité sécurité-santé environnement;Autre établissement du supérieur;Lyon;Rhône;4.826411;45.746622
Médiat centre régional de formation aux métiers des bibliothèques;Autre établissement du supérieur;Villeurbanne;Rhône;4.871333;45.7822695
École pour l'informatique et les nouvelles technologies;Autre établissement du supérieur;Lyon;Rhône;4.8568653;45.7569796
Institut de langue et culture françaises;Autre établissement du supérieur;Lyon;Rhône;4.8285338;45.7571036
Ecole normale supérieure de Lyon;Centre de formation de fonctionnaires;Lyon;Rhône;4.8271601;45.7298101
ARFIS;Ecole d'art;Villeurbanne;Rhône;4.9004929;45.7594379
Ecole EURIDIS;Autre établissement du supérieur;Lyon;Rhône;4.8420122312134;45.765293466612
Ecole nationale supérieure de police;Centre de formation de fonctionnaires;Saint-Cyr-au-Mont-d'Or;Rhône;4.813965;45.814646
ISEG - Digital Marketing and Communication School;Autre établissement du supérieur;Lyon;Rhône;4.834849;45.746098
Institut national des formations notariales;Autre établissement du supérieur;Lyon;Rhône;4.842057;45.747762
Faculté de philosophie et de sciences humaines;Autre établissement du supérieur;Lyon;Rhône;4.8269596;45.7514266
Cours Galien;Autre établissement du supérieur;Lyon;Rhône;4.8655824;45.7481997
VetAgro Sup - Campus vétérinaire de Lyon;Autre établissement du supérieur;Marcy-l'Etoile;Rhône;4.709203;45.790649
Carrel Ecole supérieure des métiers de la vente;Autre établissement du supérieur;Lyon;Rhône;4.8496046;45.7659591
Ecole privée des sciences informatiques;Autre établissement du supérieur;Lyon;Rhône;4.8064926;45.7702159
Institut de science financière et d'assurances;Autre établissement du supérieur;Lyon;Rhône;4.827027;45.726554
L'école des nouveaux métiers de la communication;Autre établissement du supérieur;Lyon;Rhône;4.823592;45.779928
Centre d'études pédagogiques pour l'expérimentation et le conseil;Autre établissement du supérieur;Craponne;Rhône;4.723658;45.749076
ESTRI;Autre établissement du supérieur;Lyon;Rhône;4.8269411;45.751225
Institut régional d'administration;Centre de formation de fonctionnaires;Villeurbanne;Rhône;4.861253;45.775009
Centre de formation de la police nationale;Centre de formation de fonctionnaires;Chassieu;Rhône;4.949968;45.740683
Ecole Emile Cohl;Ecole d'art;Lyon;Rhône;4.86579;45.75683
Institut supérieur transport et logistique internationale - AFTRAL;Autre établissement du supérieur;Jonage;Rhône;5.0368862;45.7739225
Foucauld Sup';Autre établissement du supérieur;Lyon;Rhône;4.8720217;45.750952809219
Hybria - Institute of business & technologies;Autre établissement du supérieur;Ecully;Rhône;4.761832;45.782688
Ecole nationale supérieure des sciences de l'information et des bibliothèques;Centre de formation de fonctionnaires;Villeurbanne;Rhône;4.867089;45.778935
Institut de formation de la profession de l'assurance - ENASS;Autre établissement du supérieur;Lyon;Rhône;4.8262177;45.7262192
Institut Bioforce;Autre établissement du supérieur;Vénissieux;Rhône;4.869838;45.692766
Institut européen de formation au tourisme;Autre établissement du supérieur;Lyon;Rhône;4.805467;45.768032
Ecole de psychologues praticiens;Autre établissement du supérieur;Lyon;Rhône;4.843067;45.763196
ADONIS;Autre établissement du supérieur;Lyon;Rhône;4.8685606;45.7618026
Ecole de santé des armées;Centre de formation de fonctionnaires;Bron;Rhône;4.9248669;45.7282743
Faculté de lettres et langues;Autre établissement du supérieur;Lyon;Rhône;4.8269596;45.7514266
Institut supérieur de formation de l'enseignement catholique - Campus de l'Oratoire;Autre établissement du supérieur;Caluire-et-Cuire;Rhône;4.841716;45.783742
Ecole des avocats de la région Rhône-Alpes;Autre établissement du supérieur;Lyon;Rhône;4.861029;45.773055
AFIP;Autre établissement du supérieur;Villeurbanne;Rhône;4.8902912999999;45.7604537
Faculté de théologie;Autre établissement du supérieur;Lyon;Rhône;4.8269596;45.7514266
Cours Diderot;Autre établissement du supérieur;Lyon;Rhône;4.8418361;45.7484824
Ecole nationale supérieure des arts et techniques du théâtre;Ecole d'art;Lyon;Rhône;4.811379;45.751042
Made In Sainte-Marie Lyon;Autre établissement du supérieur;Lyon;Rhône;4.8200703;45.7650138
École polytechnique universitaire de l'Université Lyon-I;Ecole d'ingénieurs;Villeurbanne;Rhône;4.8666;45.779406
SUP'de Com école supérieure de communication;Autre établissement du supérieur;Lyon;Rhône;4.8055186;45.7704448
UCPA L'école des Dj's;Ecole d'art;Lyon;Rhône;4.850209;45.740297
E-artsup Lyon;Ecole d'art;Lyon;Rhône;4.834849;45.746098
ISARA;Ecole d'ingénieurs;Lyon;Rhône;4.835837;45.727813
Scène formations;Ecole d'art;Villeurbanne;Rhône;4.871455;45.766575
Conservatoire national supérieur musique et danse de Lyon;Ecole d'art;Lyon;Rhône;4.81272;45.768898
Ecole Brassart Lyon;Ecole d'art;Lyon;Rhône;4.842826;45.725886
Classe préparatoire de l'ENSBA-Lyon;Ecole d'art;Lyon;Rhône;4.8276609;45.7638924
ITECH Lyon;Ecole d'ingénieurs;Ecully;Rhône;4.771212;45.785
Institut de formation aux affaires et à la gestion;Ecole de gestion et de commerce;Lyon;Rhône;4.805467;45.768032
Ecole supérieure des métiers des agences d'emploi (ESMAE) - EKLYA school of business;Ecole de gestion et de commerce;Ecully;Rhône;4.805468;45.771536
Institut supérieur européen de formation par l'action;Autre établissement du supérieur;Lyon;Rhône;4.8560804;45.749074
ESIMA Lyon;Autre établissement du supérieur;Lyon;Rhône;4.8477196741703;45.752986801944
Ecole nationale supérieure d'architecture de Lyon;Ecole d'art;Vaulx-en-Velin;Rhône;4.922196;45.779035
Ecole de management - ESDES;Ecole de gestion et de commerce;Lyon;Rhône;4.826411;45.746622
Vatel;Ecole de gestion et de commerce;Lyon;Rhône;4.829406;45.75031
Institut de gestion sociale - Ecole des ressources humaines;Ecole de gestion et de commerce;Lyon;Rhône;4.805467;45.768032
Centre de formation des enseignants de la musique;Ecole d'art;Lyon;Rhône;4.835223;45.762701
Ecole de Condé;Ecole d'art;Lyon;Rhône;4.8473496;45.7452888
SUPDEMOD - Fashion design and business school;Ecole d'art;Lyon;Rhône;4.8345850000001;45.75929
Ecole supérieure d'architecture intérieure de Lyon (groupe IDRAC);Ecole d'art;Lyon;Rhône;4.805519;45.770445
Ecole nationale supérieure des beaux-arts de Lyon;Ecole d'art;Lyon;Rhône;4.816325;45.767973
Studio M;Ecole d'art;Villeurbanne;Rhône;4.774205;45.805452
Institut privé des métiers - SEPR;Autre établissement du supérieur;Lyon;Rhône;4.8769893;45.7457404
La CinéFabrique;Ecole d'art;Lyon;Rhône;4.8258216;45.7966396
ECAM LaSalle - Lyon;Ecole d'ingénieurs;Lyon;Rhône;4.825007;45.762476
Institut national des sciences appliquées de Lyon;Ecole d'ingénieurs;Villeurbanne;Rhône;4.881686;45.783223
Ecole de commerce européenne - programme BBA Inseec;Ecole de gestion et de commerce;Lyon;Rhône;4.8392315999999;45.7508708
Groupe Sciences U Lyon - CRESPA;Ecole de gestion et de commerce;Lyon;Rhône;4.865693;45.747483
Institut de management des industries de la santé (groupe IGS);Ecole de gestion et de commerce;Lyon;Rhône;4.805467;45.768032
EKLYA - School of business - campus de Lyon;Ecole de gestion et de commerce;Ecully;Rhône;4.805468;45.771536
ENTPE Lyon;Ecole d'ingénieurs;Vaulx-en-Velin;Rhône;4.922196;45.779035
Ecole supérieure de Chimie, Physique, Electronique de Lyon;Ecole d'ingénieurs;Villeurbanne;Rhône;4.8670887;45.7789354
Institut de formation d'aides-soignants et d'auxiliaires de puériculture - la Maisonnée;Ecole de santé;Francheville;Rhône;4.772908;45.741986
Ecole supérieure de Chimie, Physique, Electronique de Lyon;Ecole d'ingénieurs;Villeurbanne;Rhône;4.8670887;45.7789354
Ecole supérieure d'économie d'art et de communication (EAC);Ecole d'art;Lyon;Rhône;4.8356973386577;45.769966564805
GRIM-EDIF;Ecole d'art;Lyon;Rhône;4.843848;45.752684
Ecole centrale de Lyon;Ecole d'ingénieurs;Ecully;Rhône;4.765177;45.785736
CESI Ecole d'ingénieurs - campus de Lyon;Ecole d'ingénieurs;Ecully;Rhône;4.765865;45.783799
ESMOD international;Ecole d'art;Lyon;Rhône;4.8305332;45.7699299
EPITA Lyon;Ecole d'ingénieurs;Lyon;Rhône;4.8271029;45.754207
emlyon business school;Ecole de gestion et de commerce;Ecully;Rhône;4.764917;45.786587
CESI Ecole d'ingénieurs informatique - campus de Lyon;Ecole d'ingénieurs;Ecully;Rhône;4.765865;45.783799
Institut de formation en soins infirmiers et Institut de formation d'aides-soignants des HCL - site Clemenceau;Ecole de santé;Saint-Genis-Laval;Rhône;4.795696;45.701476
ICOGES Rhône-Alpes;Ecole de gestion et de commerce;Lyon;Rhône;4.8581486;45.7621317
Institut supérieur de gestion;Ecole de gestion et de commerce;Lyon;Rhône;4.8588745368054;45.754948035906
Centre d'études franco-américain de management;Ecole de gestion et de commerce;Lyon;Rhône;4.805467;45.768032
Horizon Santé;Ecole de santé;Lyon;Rhône;4.828835;45.768228
Sup' La Mache - Institut supérieur de technologie de Lyon (ISTL);Ecole de gestion et de commerce;Lyon;Rhône;4.869863;45.736678
The School of Advanced Management and Finance;Ecole de gestion et de commerce;Lyon;Rhône;4.805467;45.768032
Ecole supérieure de commerce et développement - 3A;Ecole de gestion et de commerce;Lyon;Rhône;4.805467;45.768032
Ecole supérieure des sciences commerciales d'Angers;Ecole de gestion et de commerce;Lyon;Rhône;;
Institut de formation aux carrières de santé des HCL - site Esquirol;Ecole de santé;Lyon;Rhône;4.886324;45.741629
Institut supérieur d'optique de Lyon;Ecole de santé;Lyon;Rhône;4.832701;45.746416
Institut de formation en soins infirmiers - hôpital Le Vinatier;Ecole de santé;Bron;Rhône;4.891843;45.738368
Institut supérieur d'ostéopathie de Lyon;Ecole de santé;Ecully;Rhône;4.7604274749756;45.784763729574
Institut de formation d'aides-soignants de l'Argentière;Ecole de santé;Aveize;Rhône;4.477940083;45.68082047
Inseec School of Business and Economics - groupe Inseec;Ecole de gestion et de commerce;Lyon;Rhône;4.8369680000001;45.7707026
Burgundy School of Business;Ecole de gestion et de commerce;Lyon;Rhône;4.824707;45.7461805
CRESFA Formation - Sciences U Lyon;Ecole de gestion et de commerce;Lyon;Rhône;4.865693;45.747483
Pôle formation santé-Lyon;Ecole de santé;Lyon;Rhône;4.7999856;45.7775465
Institut de formation en soins infirmiers et formation d'aides soignants J. Lepercq, Hôpital St-Joseph St-Luc;Ecole de santé;Lyon;Rhône;4.839056;45.746994
Institut Paul Bocuse;Ecole de gestion et de commerce;Ecully;Rhône;4.778240204;45.77463913
IDRAC Business School;Ecole de gestion et de commerce;Lyon;Rhône;4.8062299000001;45.7685487
Césame;Ecole de santé;Lyon;Rhône;4.873101;45.744912
CEESO Lyon Centre européen d'enseignement supérieur de l'ostéopathie;Ecole de santé;Lyon;Rhône;4.839996;45.753141
Ecole Rockefeller;Ecole de santé;Lyon;Rhône;4.885377;45.741223
Ecole supérieure du commerce extérieur;Ecole de gestion et de commerce;Lyon;Rhône;4.8401724;45.7510385
Ecole de sages-femmes, faculté médecine et maïeutique Lyon-Sud, université Claude Bernard Lyon1;Ecole de santé;Oullins;Rhône;4.79839;45.7077414
Association régionale pour la formation, la recherche et l'innovation en pratiques sociales;Ecole du secteur social;Lyon;Rhône;4.8099968;45.7890808
Institut de formation en soins infirmiers et formation d'aides-soignants- Hôpital Nord-Ouest de Villefranche;Ecole de santé;Villefranche-sur-Saône;Rhône;4.702154;46.001825
Institut de formation d'aides-soignant de l'hôpital Nord-Ouest Tarare;Ecole de santé;Tarare;Rhône;4.440767;45.891753
Andrew Taylor Still Academy Formation Initiale;Ecole de santé;Limonest;Rhône;4.7747426;45.8074642
Institut de formation aux carrières de santé des HCL-site Lacassagne;Ecole de santé;Lyon;Rhône;4.8893296;45.7446836
Ecole supérieure de biologie-biochimie-biotechnologies;Ecole de santé;Lyon;Rhône;4.8240999;45.7477113
IRFSS Auvergne-Rhône-Alpes - Croix-Rouge française- site de Lyon;Ecole de santé;Lyon;Rhône;4.8766955999999;45.7493665
UFR lettres, sciences du langage et arts;Unité de formation et de recherche;Lyon;Rhône;4.836115;45.750647
Faculté des sciences et technologies - Département informatique;Unité de formation et de recherche;Villeurbanne;Rhône;4.8647926;45.781382
Institut des sciences pharmaceutiques et biologiques;Unité de formation et de recherche;Lyon;Rhône;4.880568;45.742419
UFR droit et science politique;Unité de formation et de recherche;Lyon;Rhône;4.838203;45.750597
Centre de langues;Unité de formation et de recherche;Bron;Rhône;4.9149924;45.7229341
Faculté de médecine Lyon-Est - Claude Bernard;Unité de formation et de recherche;Lyon;Rhône;4.880568;45.742419
Institut des sciences et techniques de la réadaptation;Unité de formation et de recherche;Lyon;Rhône;4.880568;45.742419
Institut Saint-Laurent;Ecole du secteur social;Ecully;Rhône;4.774822;45.781323
Carrel Ecole des métiers de la santé et du social;Ecole du secteur social;Lyon;Rhône;4.8496046;45.7659591
Faculté des sciences et technologies - Département biologie;Unité de formation et de recherche;Villeurbanne;Rhône;4.8670887;45.7789354
Faculté d'odontologie;Unité de formation et de recherche;Lyon;Rhône;4.88738;45.737583
Institut de psychologie;Unité de formation et de recherche;Bron;Rhône;4.9149924;45.7229341
Faculté des sciences et technologies - Département génie électrique et des procédés;Unité de formation et de recherche;Villeurbanne;Rhône;4.8670887;45.7789354
Institut d'études judiciaires;Unité de formation et de recherche;Lyon;Rhône;4.837055;45.751854
Institut d'études du travail de Lyon;Unité de formation et de recherche;Lyon;Rhône;4.8382328;45.7513803
Institut d'administration des entreprises;Unité de formation et de recherche;Lyon;Rhône;4.860764;45.749139
Institut des sciences et pratiques d'éducation et de formation;Unité de formation et de recherche;Lyon;Rhône;4.83722;45.749162
Institut de droit patrimonial et immobilier;Unité de formation et de recherche;Lyon;Rhône;4.837055;45.751854
UFR de sciences économiques et de gestion;Unité de formation et de recherche;Lyon;Rhône;4.836743;45.751451
Institut de la communication;Unité de formation et de recherche;Bron;Rhône;4.9149924;45.7229341
UFR Temps et Territoires;Unité de formation et de recherche;Bron;Rhône;4.9153229;45.7225722
IUT Lyon 1 (site de Villeurbanne Doua);Institut universitaire de technologie;Villeurbanne;Rhône;4.8670887;45.7789354
IUT Lumière;Institut universitaire de technologie;Bron;Rhône;4.917685;45.723637
Faculté de droit;Unité de formation et de recherche;Lyon;Rhône;4.86042;45.749289
UFR anthropologie, sociologie, science politique;Unité de formation et de recherche;Bron;Rhône;4.9149924;45.7229341
Institut de formation de techniciens de laboratoire médical;Ecole de santé;Lyon;Rhône;4.8240999;45.7477113
IUT Lyon 1 (site de Villeurbanne Gratte-ciel);Institut universitaire de technologie;Villeurbanne;Rhône;4.887054;45.766994
Faculté des sciences et technologies - Département chimie biochimie;Unité de formation et de recherche;Villeurbanne;Rhône;4.8670887;45.7789354
Faculté des langues;Unité de formation et de recherche;Lyon;Rhône;4.860764;45.749139
UFR des langues;Unité de formation et de recherche;Bron;Rhône;4.9149924;45.7229341
Faculté des sciences et technologies - Département mathématiques;Unité de formation et de recherche;Villeurbanne;Rhône;4.8670887;45.7789354
Observatoire des sciences de l'univers;Unité de formation et de recherche;Villeurbanne;Rhône;4.8656389;45.7802863
Institut de formation en masso-kinésithérapie pour déficients de la vue;Ecole de santé;Lyon;Rhône;4.8842;45.759433
Ecole santé social Sud-Est;Ecole de santé;Lyon;Rhône;4.805856;45.779802
IUT Jean Moulin - Lyon 3;Institut universitaire de technologie;Lyon;Rhône;4.8370392619019;45.748862934109
Faculté des sciences et technologies - Département de physique;Unité de formation et de recherche;Villeurbanne;Rhône;4.8670887;45.7789354
Faculté des sciences et technologies - Département mécanique;Unité de formation et de recherche;Villeurbanne;Rhône;4.8670887;45.7789354
Faculté de philosophie;Unité de formation et de recherche;Lyon;Rhône;4.8375659;45.7518154
Institut des assurances de Lyon;Unité de formation et de recherche;Lyon;Rhône;4.837055;45.751854
Institut formation et recherche sur les organisations sanitaires;Unité de formation et de recherche;Lyon;Rhône;4.842057;45.747762
UFR lettres, sciences du langage et arts;Unité de formation et de recherche;Bron;Rhône;4.9149924;45.7229341
Faculté des lettres et civilisations;Unité de formation et de recherche;Lyon;Rhône;4.8370109;45.7498371
UFR droit et science politique;Unité de formation et de recherche;Bron;Rhône;4.9149924;45.7229341
UFR Sciences et techniques des activités physiques et sportives;Unité de formation et de recherche;Villeurbanne;Rhône;4.861584;45.779458
Faculté des lettres et civilisations;Unité de formation et de recherche;Lyon;Rhône;4.86042;45.749289
Faculté de philosophie;Unité de formation et de recherche;Lyon;Rhône;4.86042;45.749289
Faculté de médecine Lyon-Sud - Charles Mérieux;Unité de formation et de recherche;Oullins;Rhône;4.806976;45.704247
Institut national supérieur du professorat et de l'éducation (site de la Croix-Rousse);École supérieure du professorat et de l'éducation;Lyon;Rhône;4.824475;45.773776
Faculté de droit;Unité de formation et de recherche;Lyon;Rhône;4.837055;45.751854
